Bordeaux  (2518,2023)  (2453,2013)  (2454,2092)  (2524,2102)  (2583,1969)  (2518,1958)  (2589,2112)  (2595,2034)  (2411,1948)  (2389,2140)  (2459,2157)  (2524,2167)  (2591,2177)  | overflowToLeft=false
BR 2  (3585,3796)  (3520,3860)  (3520,3795)  (3633,3861)  (3585,3731)  (3650,3731)  (3650,3796)  (3518,3730)  (3455,3875)  (3455,3810)  (3715,3706)  (3715,3771)  (3453,3745)  (3390,3875)  (3390,3810)  (3780,3706)  (3325,3875)  | overflowToLeft=false
BR 1  (3092,3796)  (3027,3860)  (3027,3795)  (3156,3861)  (3092,3731)  (3157,3731)  (3157,3796)  (3025,3730)  (2962,3875)  (2962,3810)  (3222,3706)  (3222,3771)  (3222,3836)  (2960,3745)  (2897,3875)  (2897,3810)  (3287,3706)  (3287,3771)  (3352,3706)  | overflowToLeft=false
Aachen  (1412,4015)  (1347,4077)  (1347,4012)  (1477,3963)  (1477,4028)  (1520,4124)  (1455,4135)  (1542,3963)  (1542,4028)  (1390,4153)  (1325,4171)  (1585,4126)  (1520,4189)  (1587,4191)  (1455,4200)  (1390,4218)  (1325,4236)  | overflowToLeft=false
Gibraltar  (2013,2718)  (1948,2722)  (2020,2653)  (2078,2718)  | overflowToLeft=false
Cyprus  (4821,2946)  | overflowToLeft=false
RR 23  (4527,1130)  | overflowToLeft=false
RR 22  (4163,1251)  | overflowToLeft=false
RR 25  (5855,1258)  | overflowToLeft=false
RR 24  (5235,1234)  | overflowToLeft=false
Smolensk  (4711,737)  (4646,769)  (4646,704)  (4744,802)  (4711,672)  (4776,719)  (4612,639)  (4809,784)  (4677,607)  (4863,863)  (4583,574)  (4798,905)  (4885,928)  (4801,970)  | overflowToLeft=false
RR 27  (2646,1840)  | overflowToLeft=false
RR 26  (2307,1769)  | overflowToLeft=false
RR 29  (3154,1598)  | overflowToLeft=false
RR 28  (2838,1694)  | overflowToLeft=false
RR 100  (4634,4527)  | overflowToLeft=false
RR 101  (3493,4845)  | overflowToLeft=false
Rome  (3329,2286)  | overflowToLeft=false
RR 102  (3692,4870)  | overflowToLeft=false
RR 30  (3436,1393)  | overflowToLeft=false
RR 103  (4366,4753)  | overflowToLeft=false
Natal  (3889,5777)  (3826,5868)  (3986,5798)  | overflowToLeft=false
RR 104  (3569,4970)  | overflowToLeft=false
RR 32  (4042,1588)  | overflowToLeft=false
RR 105  (3864,5013)  | overflowToLeft=false
RR 31  (3627,1529)  | overflowToLeft=false
RR 106  (4352,4899)  | overflowToLeft=false
SZ 8  (2361,1376)  (2296,1440)  (2296,1375)  (2416,1441)  (2426,1339)  (2481,1404)  (2231,1440)  (2491,1287)  (2228,1508)  (2514,1222)  (2166,1443)  (2166,1378)  (2556,1287)  (2163,1530)  (2579,1158)  (2101,1465)  (2621,1223)  (2098,1537)  (2524,1093)  (2589,1093)  (2036,1472)  (2033,1558)  | overflowToLeft=false
RR 107  (4127,5088)  | overflowToLeft=false
SZ 7  (3160,426)  (3095,490)  (3095,425)  (3218,491)  (3160,361)  (3096,555)  (3031,555)  (3030,490)  (3249,556)  (3184,556)  (3285,621)  (3288,686)  (3180,793)  (3177,858)  | overflowToLeft=false
RR 108  (4321,5047)  | overflowToLeft=false
SZ 6  (2393,749)  (2328,801)  (2328,736)  (2457,814)  (2393,684)  (2458,684)  (2458,749)  (2314,671)  (2392,866)  (2522,834)  (2457,879)  (2379,619)  (2444,619)  (2249,674)  (2249,609)  (2314,606)  (2542,899)  (2477,944)  (2412,944)  (2379,554)  (2229,544)  (2294,541)  (2569,964)  (2504,1009)  (2359,489)  (2424,489)  | overflowToLeft=false
RR 109  (3515,5224)  | overflowToLeft=false
SZ 5  (2659,334)  (2594,398)  (2594,333)  (2723,399)  (2659,269)  (2724,269)  (2724,334)  (2592,268)  (2618,463)  (2553,463)  (2529,398)  (2529,333)  (2788,399)  (2744,204)  (2527,268)  (2618,528)  (2553,528)  (2853,456)  (2743,139)  (2743,74)  | overflowToLeft=false
SZ 4  (2255,301)  (2190,365)  (2190,300)  (2319,366)  (2255,236)  (2320,236)  (2320,301)  (2188,235)  (2384,366)  (2385,226)  (2385,291)  (2123,250)  (2123,185)  (2073,120)  (2138,120)  (2058,265)  (2058,200)  (2028,55)  (2093,55)  (2158,55)  | overflowToLeft=false
SZ 3  (1587,192)  (1522,256)  (1522,191)  (1651,257)  (1587,127)  (1652,127)  (1652,192)  (1520,126)  (1586,321)  (1521,321)  (1457,256)  (1457,191)  (1716,257)  (1716,322)  (1651,322)  (1456,322)  (1585,62)  (1650,62)  (1715,62)  (1717,127)  (1717,192)  (1455,126)  (1455,61)  (1520,61)  (1780,20)  (1586,386)  (1392,257)  (1392,192)  (1781,257)  (1708,387)  (1391,351)  (1782,85)  (1782,150)  (1390,127)  (1390,62)  (1845,20)  (1643,451)  (1578,451)  (1327,286)  (1327,221)  (1846,215)  (1326,351)  (1847,85)  (1847,150)  (1325,156)  (1325,91)  (1325,26)  (1910,20)  (1262,286)  (1262,221)  (1911,215)  | overflowToLeft=false
Abyssinia  (4359,4434)  (4294,4498)  (4294,4433)  (4423,4499)  (4359,4369)  (4424,4420)  (4292,4368)  (4488,4485)  (4357,4304)  (4553,4477)  | overflowToLeft=false
SZ 2  (900,238)  (835,302)  (835,237)  (964,303)  (900,173)  (965,173)  (965,238)  (833,172)  (899,367)  (834,367)  (770,302)  (770,237)  (1029,303)  (1000,368)  (769,368)  (898,108)  (963,108)  (1028,108)  (1030,173)  (1030,238)  (768,172)  (768,107)  (833,107)  (1093,45)  (935,432)  (705,303)  (705,238)  (1094,303)  (1000,433)  (704,423)  (898,43)  (963,43)  (1028,43)  (1095,110)  (1095,175)  (703,173)  (703,108)  (703,43)  (768,42)  (833,42)  (870,488)  (1158,21)  (935,497)  (640,358)  (640,293)  (1159,240)  (1159,305)  (1000,498)  (639,423)  (1160,86)  (1160,151)  | overflowToLeft=false
SZ 1  (284,261)  (219,325)  (219,260)  (348,326)  (284,196)  (349,196)  (349,261)  (217,195)  (283,390)  (218,390)  (154,325)  (154,260)  (413,326)  (413,391)  (348,391)  (153,391)  (282,131)  (347,131)  (412,131)  (414,196)  (414,261)  (152,195)  (152,130)  (217,130)  (477,68)  (283,455)  (218,455)  (89,326)  (89,261)  (478,326)  (478,391)  (153,456)  (88,456)  (88,391)  (282,66)  (347,66)  (412,66)  (479,133)  (479,198)  (87,196)  (87,131)  (87,66)  (152,65)  (217,65)  (306,520)  (241,520)  (24,326)  (24,261)  (176,521)  (111,521)  (46,521)  (23,456)  (23,391)  | overflowToLeft=false
RR 19  (3266,1288)  | overflowToLeft=false
RR 12  (4801,840)  | overflowToLeft=false
RR 11  (5022,249)  | overflowToLeft=false
Transvaal  (3885,5661)  (4056,5653)  (4034,5717)  | overflowToLeft=false
RR 14  (5237,776)  | overflowToLeft=false
RR 13  (4948,749)  | overflowToLeft=false
RR 16  (5277,1023)  | overflowToLeft=false
RR 15  (5586,636)  | overflowToLeft=false
RR 18  (2981,1405)  | overflowToLeft=false
RR 17  (2512,1511)  | overflowToLeft=false
RR 110  (4335,5228)  | overflowToLeft=false
RR 111  (4234,5313)  | overflowToLeft=false
Petrozavodsk  (4884,70)  (4944,135)  (4879,135)  (4949,19)  | overflowToLeft=false
RR 112  (3562,5423)  | overflowToLeft=false
RR 113  (4068,5377)  | overflowToLeft=false
RR 114  (3602,5615)  | overflowToLeft=false
RR 115  (3986,5652)  | overflowToLeft=false
RR 21  (3930,1294)  | overflowToLeft=false
RR 116  (3708,5816)  | overflowToLeft=false
RR 20  (3524,1226)  | overflowToLeft=false
RR 117  (3904,5836)  | overflowToLeft=false
Bagdad  (5754,3110)  (5685,3167)  (5682,3102)  (5790,3045)  (5809,3175)  (5819,3110)  (5676,3232)  (5611,3241)  (5884,3085)  (5742,3296)  | overflowToLeft=false
RR 118  (65,4420)  | overflowToLeft=false
RR 119  (1156,4168)  | overflowToLeft=false
Kazan  (5759,448)  (5694,478)  (5823,513)  (5757,383)  (5824,407)  | overflowToLeft=false
Tunesia  (2824,2995)  (2759,3059)  (2759,2994)  (2888,3060)  (2824,2930)  (2889,2930)  (2889,2995)  (2823,3124)  (2758,3124)  (2953,3104)  (2888,3125)  (2922,2850)  (2755,2846)  (2820,2834)  (2823,3189)  (2758,3189)  (2899,3190)  | overflowToLeft=false
RR 45  (5757,1708)  | overflowToLeft=false
Scotland  (2062,549)  (1997,521)  (2088,614)  (2023,614)  (2100,484)  (2127,549)  (1987,456)  (2165,466)  (2130,689)  (2007,391)  | overflowToLeft=false
RR 44  (5430,1761)  | overflowToLeft=false
RR 47  (3658,2085)  | overflowToLeft=false
RR 46  (3259,2165)  | overflowToLeft=false
RR 49  (4196,1999)  | overflowToLeft=false
RR 48  (3907,1982)  | overflowToLeft=false
Lisala  (3786,4691)  (3721,4699)  (3721,4634)  (3850,4756)  (3786,4626)  (3851,4645)  (3785,4802)  (3820,4867)  | overflowToLeft=false
German E. Afrika  (4240,5002)  (4175,5004)  (4305,4957)  | overflowToLeft=false
RR 120  (1463,4085)  | overflowToLeft=false
RR 121  (1877,4286)  | overflowToLeft=false
RR 122  (2291,4303)  | overflowToLeft=false
RR 50  (5446,1972)  | overflowToLeft=false
RR 123  (306,4589)  | overflowToLeft=false
RR 124  (571,4602)  | overflowToLeft=false
RR 52  (3843,2243)  | overflowToLeft=false
RR 125  (871,4590)  | overflowToLeft=false
RR 51  (3393,2347)  | overflowToLeft=false
RR 126  (1601,4482)  | overflowToLeft=false
RR 54  (4243,2274)  | overflowToLeft=false
RR 127  (28,5204)  | overflowToLeft=false
RR 53  (4044,2222)  | overflowToLeft=false
RR 128  (471,5107)  | overflowToLeft=false
RR 129  (1031,5030)  | overflowToLeft=false
Flanders  (61,4169)  (125,4234)  (60,4234)  (22,4104)  (87,4104)  (126,4169)  (152,4078)  (162,4299)  (97,4299)  (32,4299)  (22,4039)  (87,4039)  (152,4013)  (171,4364)  (106,4364)  (41,4364)  (22,3974)  (87,3974)  (159,4429)  (31,4488)  (104,4511)  (28,4553)  (138,4576)  (25,4618)  (114,4641)  (22,4683)  (113,4706)  (107,4771)  (113,4836)  | overflowToLeft=false
American Isolationism  (2221,3793)  (2156,3857)  (2156,3792)  (2285,3858)  (2221,3728)  (2286,3728)  (2286,3793)  (2154,3727)  (2091,3866)  (2091,3801)  (2350,3858)  (2351,3706)  (2351,3771)  (2089,3736)  (2024,3718)  | overflowToLeft=false
Persia  (5346,3787)  (5281,3851)  (5281,3786)  (5410,3852)  (5346,3722)  (5411,3722)  (5411,3787)  (5279,3721)  (5216,3823)  (5475,3852)  (5475,3917)  (5410,3917)  (5476,3705)  (5476,3770)  (5214,3758)  (5541,3727)  (5149,3771)  (5149,3706)  (5084,3708)  | overflowToLeft=false
SZ 9  (2817,879)  (2752,943)  (2752,878)  (2881,944)  (2882,825)  (2816,1008)  (2751,1008)  (2687,943)  (2687,878)  (2946,890)  (2946,955)  (2686,1009)  (2947,825)  (2622,864)  (2737,1074)  (2618,799)  (2618,734)  (2606,669)  (2541,641)  | overflowToLeft=false
RR 34  (4915,1533)  | overflowToLeft=false
RR 33  (4413,1476)  | overflowToLeft=false
RR 36  (2368,2036)  | overflowToLeft=false
RR 35  (5383,1526)  | overflowToLeft=false
Tartarstan  (5946,986)  (6010,1051)  (5945,1051)  (5958,921)  (6011,986)  (5880,1057)  (6023,909)  (5905,1122)  | overflowToLeft=false
RR 38  (3085,2042)  | overflowToLeft=false
RR 37  (2855,2105)  | overflowToLeft=false
Sirte  (3624,3320)  (3727,3422)  | overflowToLeft=false
RR 130  (1924,4921)  | overflowToLeft=false
RR 39  (3230,1934)  | overflowToLeft=false
RR 131  (882,5381)  | overflowToLeft=false
RR 132  (1721,5297)  | overflowToLeft=false
RR 133  (2361,5184)  | overflowToLeft=false
RR 134  (461,5604)  | overflowToLeft=false
RR 135  (1161,5562)  | overflowToLeft=false
RR 41  (4555,1807)  | overflowToLeft=false
RR 136  (1984,5517)  | overflowToLeft=false
RR 40  (3740,1819)  | overflowToLeft=false
Cairo  (4825,3375)  (4875,3440)  | overflowToLeft=false
RR 137  (76,5900)  | overflowToLeft=false
RR 43  (4869,1806)  | overflowToLeft=false
RR 138  (1620,5967)  | overflowToLeft=false
RR 42  (4912,1650)  | overflowToLeft=false
RR 139  (1994,5820)  | overflowToLeft=false
Portuguese E. Africa  (4271,5183)  (4374,5167)  | overflowToLeft=false
Casablanca  (2102,3135)  (2037,3198)  (2198,3232)  (1972,3230)  (1972,3165)  (2259,3167)  (2263,3232)  (1907,3205)  (1907,3140)  (2324,3113)  (2336,2957)  (1842,3163)  (2389,3060)  (2389,3125)  (2401,2904)  | overflowToLeft=false
Portugal  (1839,2458)  (1864,2523)  (1799,2523)  (1814,2393)  (1879,2393)  (1863,2588)  (1798,2588)  (1810,2328)  (1875,2328)  (1862,2653)  (1797,2653)  (1798,2263)  | overflowToLeft=false
Svastepole  (4933,1762)  (4949,1827)  (4814,1831)  (4904,1937)  | overflowToLeft=false
Ardennes  (1679,4585)  (1614,4649)  (1614,4584)  (1743,4650)  (1679,4520)  (1744,4520)  (1744,4585)  (1560,4474)  (1678,4714)  (1613,4714)  (1808,4650)  (1808,4715)  (1743,4715)  (1548,4715)  (1736,4455)  (1801,4455)  (1809,4520)  (1809,4585)  (1625,4415)  (1504,4409)  (1866,4442)  (1678,4779)  (1613,4779)  (1788,4780)  (1874,4507)  (1874,4572)  (1690,4370)  (1569,4350)  (1445,4344)  (1939,4506)  (1634,4305)  (1517,4285)  | overflowToLeft=false
Samara  (5871,747)  (5806,811)  (5806,746)  (5935,812)  (5871,682)  (5936,691)  (5804,681)  (5741,805)  (6000,756)  (6001,653)  | overflowToLeft=false
S. Rhodesia  (3995,5449)  (4061,5530)  | overflowToLeft=false
Buchuanaland  (3833,5463)  (3768,5527)  (3897,5528)  (3785,5398)  (3850,5398)  (3898,5463)  | overflowToLeft=false
India  (5853,3859)  (5788,3923)  (5788,3858)  (5917,3924)  (5853,3794)  (5918,3794)  (5918,3859)  (5786,3793)  (5852,3988)  (5787,3988)  (5723,3923)  (5723,3858)  (5982,3924)  (5982,3989)  (5917,3989)  (5722,3989)  (5851,3729)  (5916,3729)  (5981,3729)  (5983,3794)  (5983,3859)  (5721,3793)  (5721,3728)  (5786,3728)  (6046,3704)  (5852,4053)  (5658,3924)  (5658,3859)  (6047,3924)  (6047,3989)  (6047,4054)  (5982,4054)  (5917,4054)  (5657,3995)  (6048,3769)  (6048,3834)  (5656,3794)  (5656,3729)  (5593,3930)  (6058,4119)  (5993,4119)  (5592,4000)  | overflowToLeft=false
Canada  (220,2653)  (155,2717)  (155,2652)  (284,2718)  (220,2588)  (285,2588)  (285,2653)  (155,2552)  (219,2782)  (154,2782)  (90,2717)  (220,2523)  (285,2523)  (350,2523)  (350,2588)  (63,2652)  (25,2725)  (415,2498)  (480,2470)  (638,2572)  | overflowToLeft=false
Mosul  (5519,2881)  (5454,2910)  (5454,2845)  (5519,2816)  (5584,2831)  (5584,2896)  (5442,2992)  | overflowToLeft=false
Cologne  (1846,4099)  (1781,4071)  (1910,4164)  (1846,4034)  (1911,4034)  (1911,4099)  (1753,4192)  (1752,4006)  (1975,4164)  (1975,4229)  (1910,4229)  (1817,3969)  (1882,3969)  (1947,3969)  (1976,4034)  (1976,4099)  (1688,4174)  (1802,4257)  (1687,4058)  (1687,3993)  (2012,3963)  (2040,4164)  (2040,4229)  (2040,4294)  (1975,4294)  (2105,4319)  (2040,4359)  (2137,4455)  | overflowToLeft=false
Saxony  (3510,1372)  (3575,1336)  (3475,1476)  (3401,1483)  (3382,1376)  (3635,1401)  (3640,1320)  | overflowToLeft=false
Crete  (4222,2933)  | overflowToLeft=false
United States  (100,3153)  (35,3217)  (35,3152)  (164,3218)  (100,3088)  (165,3088)  (165,3153)  (33,3087)  (99,3282)  (34,3282)  (107,3023)  (172,3023)  (230,3133)  (22,3022)  (237,2992)  (119,3347)  (54,3347)  (22,2957)  (258,2927)  (323,2913)  | overflowToLeft=false
Gorkiy  (5569,697)  (5514,622)  (5633,762)  (5568,762)  (5634,687)  (5579,595)  (5496,557)  (5561,530)  | overflowToLeft=false
Soissons  (543,5040)  (607,5105)  (542,5105)  (545,4975)  (608,5040)  (610,4973)  (428,5154)  (422,5089)  (613,5170)  (548,5170)  (673,5038)  (559,4908)  (624,4908)  (675,4973)  (402,5024)  (439,5219)  (374,5219)  (363,5154)  (357,5089)  (591,5235)  (526,5235)  (309,5273)  (439,5284)  (374,5284)  (298,5208)  (292,5143)  (292,5078)  (587,5300)  (522,5300)  (439,5349)  (227,5148)  (227,5083)  (523,5365)  | overflowToLeft=false
Moscow  (5152,632)  (5087,696)  (5087,631)  (5211,697)  (5152,567)  (5085,566)  (5022,670)  (5150,502)  (5282,676)  (5020,605)  (5284,580)  (5109,802)  (5323,803)  (5175,807)  (5347,645)  (5347,710)  (5349,547)  (5215,872)  (5412,612)  | overflowToLeft=false
Cyreniaca  (3976,3303)  (3913,3229)  (3944,3368)  (4041,3273)  (3879,3420)  | overflowToLeft=false
Bolshevik Revolution  (2607,3782)  (2542,3846)  (2542,3781)  (2671,3847)  (2607,3717)  (2672,3717)  (2672,3782)  (2540,3716)  (2477,3875)  (2477,3810)  (2736,3847)  (2737,3706)  (2737,3771)  (2475,3745)  (2802,3706)  | overflowToLeft=false
Tabriz  (5629,2683)  (5564,2724)  (5564,2659)  (5693,2748)  (5629,2618)  (5750,2562)  (5694,2813)  (5775,2627)  (5788,2692)  (5815,2525)  (5840,2590)  (5853,2655)  (5905,2539)  (5918,2604)  | overflowToLeft=false
Riga  (4431,665)  (4366,692)  (4495,730)  (4406,600)  (4471,600)  (4496,665)  (4430,757)  (4306,594)  (4535,795)  (4439,535)  | overflowToLeft=false
Naples  (3522,2359)  (3632,2404)  (3587,2505)  (3605,2573)  | overflowToLeft=false
Cabinda  (3526,5029)  (3596,5091)  | overflowToLeft=false
Nigeria  (3279,4345)  (3253,4410)  (3348,4412)  (3214,4345)  (3214,4280)  (3279,4280)  (3375,4345)  (3188,4421)  (3402,4278)  (3440,4343)  (3467,4277)  | overflowToLeft=false
Gallipoli  (4368,2349)  (4305,2381)  (4436,2351)  | overflowToLeft=false
Switzerland  (3026,1752)  (2961,1782)  (3091,1714)  (3091,1779)  | overflowToLeft=false
Spain  (2194,2390)  (2129,2454)  (2129,2389)  (2258,2455)  (2194,2325)  (2259,2325)  (2259,2390)  (2127,2324)  (2193,2519)  (2128,2519)  (2064,2454)  (2064,2389)  (2323,2455)  (2323,2520)  (2258,2520)  (2063,2520)  (2192,2260)  (2257,2260)  (2322,2260)  (2324,2325)  (2324,2390)  (2062,2324)  (2062,2259)  (2127,2259)  (2387,2247)  (2193,2584)  (2128,2584)  (1999,2455)  (1999,2390)  (2361,2585)  (2296,2585)  (1998,2573)  (2192,2195)  (2389,2312)  (2389,2377)  (1997,2325)  (1997,2233)  (2062,2194)  (2127,2194)  (2231,2649)  (2166,2649)  (2309,2650)  (2454,2260)  (2454,2325)  (1932,2182)  (2236,2714)  (2519,2261)  (2519,2326)  (2584,2261)  | overflowToLeft=false
Bohemia  (3706,1471)  (3761,1543)  (3771,1456)  (3826,1529)  (3836,1437)  | overflowToLeft=false
Penza  (5930,1397)  (5994,1462)  (5929,1462)  (5891,1332)  (5956,1332)  (5995,1397)  (6021,1306)  (5816,1311)  (5809,1382)  (5911,1527)  (5740,1204)  | overflowToLeft=false
